
2024/05/03 (20:44:45) | ===> btop++ v.1.3.2
2024/05/03 (20:44:45) | INFO: Logger set to DEBUG
2024/05/03 (20:44:45) | DEBUG: Writing new config file
2024/05/03 (20:44:45) | ERROR: No UTF-8 locale detected!
Use --utf-force argument to force start if you're sure your terminal can handle it.
2024/05/03 (20:44:45) | INFO: Quitting! Runtime: 00:00:00

2024/05/03 (20:45:01) | ===> btop++ v.1.3.2
2024/05/03 (20:45:01) | INFO: Logger set to DEBUG
2024/05/03 (20:45:01) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/05/03 (20:45:01) | INFO: Running on /dev/pts/1
2024/05/03 (20:45:01) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/03 (20:45:01) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/03 (20:45:01) | DEBUG: Shared::init() : Initialized.
2024/05/03 (20:45:01) | DEBUG: Loading theme file: /home/roxxamay/.config/btop/themes/catppuccin_mocha.theme

2024/05/03 (21:15:17) | ===> btop++ v.1.3.2
2024/05/03 (21:15:17) | INFO: Logger set to DEBUG
2024/05/03 (21:15:17) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/05/03 (21:15:17) | INFO: Running on /dev/pts/1
2024/05/03 (21:15:17) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/03 (21:15:17) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/03 (21:15:17) | DEBUG: Shared::init() : Initialized.
2024/05/03 (21:15:17) | DEBUG: Loading theme file: /home/roxxamay/.config/btop/themes/rosepine.theme
2024/05/03 (21:15:25) | INFO: Quitting! Runtime: 00:00:08

2024/05/03 (21:16:04) | ===> btop++ v.1.3.2
2024/05/03 (21:16:04) | INFO: Logger set to DEBUG
2024/05/03 (21:16:04) | WARNING: No UTF-8 locale detected! Forcing start with --utf-force argument.
2024/05/03 (21:16:04) | INFO: Running on /dev/pts/1
2024/05/03 (21:16:04) | INFO: Failed to load libnvidia-ml.so, NVIDIA GPUs will not be detected: libnvidia-ml.so.1: cannot open shared object file: No such file or directory
2024/05/03 (21:16:04) | INFO: Failed to load librocm_smi64.so, AMD GPUs will not be detected: librocm_smi64.so.6: cannot open shared object file: No such file or directory
2024/05/03 (21:16:04) | DEBUG: Shared::init() : Initialized.
2024/05/03 (21:16:04) | DEBUG: Loading theme file: /home/roxxamay/.config/btop/themes/rosepine.theme
2024/05/03 (21:17:01) | INFO: Quitting! Runtime: 00:00:57
